the_geom,cartodb_id,ratio,sum,people_total_f,people_total_m,people_total,village,site_id
,350,0.371685201026518,869.00,2719,2338,"5,057.00",永元里,永和區
,351,0.385301837270341,734.00,2006,1905,"3,911.00",秀林里,永和區
,352,0.427868852459016,"1,566.00",4015,3660,"7,675.00",保安里,永和區
,353,0.369614512471655,978.00,2686,2646,"5,332.00",中溪里,永和區
,354,0.472126295017267,957.00,2355,2027,"4,382.00",永安里,永和區
,355,0.387860525182953,901.00,2594,2323,"4,917.00",民族里,永和區
,356,0.388275276125743,914.00,2496,2354,"4,850.00",民權里,永和區
,357,0.409489051094891,561.00,1612,1370,"2,982.00",中興里,永和區
,358,0.342443729903537,213.00,691,622,"1,313.00",勵行里,永和區
,359,0.327325864588407,672.00,2164,2053,"4,217.00",秀朗里,永和區
,360,0.366382140512147,558.00,1560,1523,"3,083.00",秀成里,永和區
,361,0.384133611691023,368.00,1119,958,"2,077.00",上溪里,永和區
,362,0.390760869565217,719.00,1991,1840,"3,831.00",竹林里,永和區
,363,0.408539799683711,775.00,2233,1897,"4,130.00",雙和里,永和區
,364,0.442417926003127,849.00,2209,1919,"4,128.00",安和里,永和區
,365,0.399708596406022,823.00,2246,2059,"4,305.00",水源里,永和區
,366,0.364983164983165,542.00,1577,1485,"3,062.00",協和里,永和區
,367,0.448339483394834,729.00,1776,1626,"3,402.00",河堤里,永和區
,368,0.419381107491857,515.00,1342,1228,"2,570.00",頂溪里,永和區
,369,0.439981949458484,975.00,2659,2216,"4,875.00",潭墘里,永和區
,370,0.413945989520355,"1,027.00",2624,2481,"5,105.00",潭安里,永和區
,371,0.454619124797407,561.00,1504,1234,"2,738.00",大新里,永和區
,372,0.380421313506815,921.00,2713,2421,"5,134.00",保平里,永和區
