site_id,village,people_total,people_total_m,people_total_f,sum,ratio
區域別,村里,人口數,人口數-男,人口數-女,sum,ratio
永和區,秀和里,"5,240.00",2513,2727,"1,075.00",0.427775567051333
永和區,河濱里,"3,410.00",1658,1752,642.00,0.387213510253317
永和區,民生里,"4,291.00",2001,2290,695.00,0.347326336831584
永和區,秀得里,"2,873.00",1370,1503,491.00,0.358394160583942
永和區,上林里,"3,714.00",1772,1942,740.00,0.417607223476298
永和區,網溪里,"1,259.00",623,636,217.00,0.348314606741573
永和區,正興里,"2,355.00",1070,1285,455.00,0.425233644859813
永和區,永興里,"3,395.00",1605,1790,675.00,0.420560747663551
永和區,桂林里,"3,907.00",1859,2048,722.00,0.388380849919311
永和區,店街里,"4,353.00",1953,2400,859.00,0.439836149513569
永和區,信義里,"2,702.00",1229,1473,557.00,0.453213995117982
永和區,後溪里,"1,904.00",910,994,375.00,0.412087912087912
永和區,民富里,"3,279.00",1601,1678,493.00,0.307932542161149
永和區,秀元里,"3,285.00",1579,1706,634.00,0.401519949335022
永和區,永樂里,"2,582.00",1178,1404,452.00,0.383701188455009
永和區,保順里,"10,827.00",5090,5737,"2,114.00",0.41532416502947
新莊區,海山里,"5,694.00",2769,2925,786.00,0.28385698808234
新莊區,頭前里,"7,653.00",3751,3902,"1,364.00",0.363636363636364
