the_geom,cartodb_id,ratio,old_population,people_total,household_no,village,site_id
,403,0.141032002,1137,8062,2769,天和里,士林區
,404,0.1629076087,1199,7360,2713,天山里,士林區
,405,0.1511021191,1419,9391,3497,天玉里,士林區
,406,0.1594305047,1131,7094,2583,天母里,士林區
,407,0.2275172944,296,1301,462,永福里,士林區
,408,0.1803051318,260,1442,537,公館里,士林區
,409,0.2221677293,453,2039,769,新安里,士林區
,410,0.22912,716,3125,1405,陽明里,士林區
,411,0.1674528302,284,1696,582,菁山里,士林區
,412,0.1776061776,276,1554,533,平等里,士林區
,413,0.1929365598,295,1529,555,溪山里,士林區
,414,0.2313839448,637,2753,1190,翠山里,士林區
,415,0.2006546645,613,3055,1200,臨溪里,士林區
,416,0.1762589928,784,4448,1720,建民里,北投區
,417,0.1702906844,744,4369,1670,文林里,北投區
,418,0.1531194296,859,5610,2096,石牌里,北投區
,419,0.1235023041,938,7595,2701,福興里,北投區
,420,0.1336603311,1090,8155,2810,榮光里,北投區
,421,0.1604038855,1255,7824,2967,榮華里,北投區
,422,0.1468298109,1188,8091,3095,裕民里,北投區
,423,0.168044417,1362,8105,2911,振華里,北投區
,424,0.1397563223,1365,9767,3711,永和里,北投區
,425,0.1481436691,1225,8269,3428,永欣里,北投區
,426,0.1326762699,700,5276,1885,永明里,北投區
,427,0.1431012388,670,4682,1613,東華里,北投區
,428,0.1272298006,970,7624,2581,吉利里,北投區
,429,0.1320327469,758,5741,1977,吉慶里,北投區
,430,0.1411126187,728,5159,1783,尊賢里,北投區
,431,0.1255892256,746,5940,2061,立賢里,北投區
,432,0.1155825443,1123,9716,3421,立農里,北投區
,433,0.1350327248,784,5806,2173,八仙里,北投區
,434,0.1419501134,313,2205,847,洲美里,北投區
,435,0.1428851239,1459,10211,3755,奇岩里,北投區
,436,0.147701964,1459,9878,4233,清江里,北投區
,437,0.1317299206,1194,9064,3408,中央里,北投區
,438,0.1439240703,925,6427,2644,長安里,北投區
,439,0.1384021861,861,6221,2375,大同里,北投區
,440,0.1550265309,1081,6973,2789,溫泉里,北投區
,441,0.1582582583,527,3330,1478,林泉里,北投區
,442,0.1486183719,995,6695,3052,中心里,北投區
,443,0.1587860128,722,4547,1760,中庸里,北投區
,444,0.1556043956,1062,6825,2586,開明里,北投區
,445,0.1687892036,888,5261,1975,中和里,北投區
,446,0.1362889984,913,6699,2334,智仁里,北投區
,447,0.179368299,619,3451,1240,秀山里,北投區
,448,0.1362835755,619,4542,1673,文化里,北投區
,449,0.1324908276,650,4906,1702,豐年里,北投區
,450,0.1511669659,842,5570,2176,稻香里,北投區
,451,0.1204570703,759,6301,2322,桃源里,北投區
,452,0.116966581,910,7780,2805,一德里,北投區
,453,0.1448124366,1714,11836,4191,關渡里,北投區
,454,0.1737340469,422,2429,848,泉源里,北投區
,455,0.2194304858,393,1791,703,湖山里,北投區
,456,0.1789976134,225,1257,433,大屯里,北投區
,457,0.1745098039,178,1020,386,湖田里,北投區
,1,,old_population,人口數,戶數,村里,區域別
,458,,0,,,,
,459,,0,,,,
